sac train | train | env_step=1674/2024 | update=515 critic=0.004 actor=-3.580 alpha_loss=-20.685 alpha=0.171 q=2.793 entropy=4.728 replay=1674 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | env | env_step=1677/2024 | replay=1677
sac train | train | env_step=1689/2024 | update=520 critic=0.002 actor=-3.643 alpha_loss=-20.787 alpha=0.171 q=2.740 entropy=4.776 replay=1689 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1704/2024 | update=525 critic=0.006 actor=-3.531 alpha_loss=-20.617 alpha=0.171 q=2.715 entropy=4.670 replay=1704 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1719/2024 | update=530 critic=0.016 actor=-3.550 alpha_loss=-20.581 alpha=0.171 q=2.776 entropy=4.640 replay=1719 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1734/2024 | update=535 critic=0.005 actor=-3.576 alpha_loss=-20.715 alpha=0.170 q=2.826 entropy=4.706 replay=1734 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1749/2024 | update=540 critic=0.004 actor=-3.595 alpha_loss=-20.777 alpha=0.170 q=2.849 entropy=4.730 replay=1749 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1764/2024 | update=545 critic=0.005 actor=-3.647 alpha_loss=-20.817 alpha=0.170 q=2.867 entropy=4.743 replay=1764 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1779/2024 | update=550 critic=0.026 actor=-3.714 alpha_loss=-21.176 alpha=0.170 q=2.810 entropy=4.936 replay=1779 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1794/2024 | update=555 critic=0.003 actor=-3.621 alpha_loss=-20.798 alpha=0.169 q=2.856 entropy=4.713 replay=1794 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | env | env_step=1806/2024 | replay=1806
sac train | train | env_step=1809/2024 | update=560 critic=0.003 actor=-3.702 alpha_loss=-21.009 alpha=0.169 q=2.935 entropy=4.822 replay=1809 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1824/2024 | update=565 critic=0.006 actor=-3.757 alpha_loss=-20.923 alpha=0.169 q=2.944 entropy=4.763 replay=1824 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1839/2024 | update=570 critic=0.005 actor=-3.747 alpha_loss=-20.891 alpha=0.169 q=2.900 entropy=4.735 replay=1839 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1854/2024 | update=575 critic=0.005 actor=-3.728 alpha_loss=-20.846 alpha=0.168 q=2.929 entropy=4.700 replay=1854 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1869/2024 | update=580 critic=0.005 actor=-3.728 alpha_loss=-20.885 alpha=0.168 q=2.963 entropy=4.712 replay=1869 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1884/2024 | update=585 critic=0.004 actor=-3.829 alpha_loss=-21.387 alpha=0.168 q=2.996 entropy=4.984 replay=1884 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
